Curah Hujan (mm),Ketinggian Sungai (cm),Debit Air (m³/s),Luas Resapan (%),Drainase (skor 1-10),Kondisi Cuaca,Label
43,57,196,72,8,Hujan Ringan,Tidak
63,70,293,67,6,Hujan Ringan,Tidak
86,78,337,22,4,Hujan Sedang,Banjir
70,81,304,44,6,Hujan Sedang,Tidak
187,145,435,41,2,Hujan Berat,Banjir
102,101,333,22,8,Hujan Sedang,Banjir
31,45,165,21,4,Hujan Ringan,Tidak
163,143,444,19,8,Hujan Berat,Banjir
64,93,331,70,2,Hujan Ringan,Banjir
55,71,212,66,8,Hujan Ringan,Tidak
57,67,294,22,3,Hujan Ringan,Banjir
196,207,830,73,4,Hujan Berat,Banjir
68,82,250,74,2,Hujan Ringan,Tidak
87,98,330,25,7,Hujan Sedang,Banjir
192,166,533,79,2,Hujan Berat,Banjir
143,156,506,73,9,Hujan Berat,Banjir
90,93,315,74,7,Hujan Sedang,Tidak
63,88,247,32,6,Hujan Sedang,Tidak
98,107,288,60,4,Hujan Sedang,Banjir
82,97,363,74,9,Hujan Sedang,Tidak
34,54,188,18,4,Hujan Ringan,Tidak
70,67,225,37,7,Hujan Sedang,Tidak
49,58,169,32,2,Hujan Ringan,Tidak
125,136,499,24,3,Hujan Berat,Banjir
79,84,307,63,9,Hujan Sedang,Tidak
37,63,209,17,6,Hujan Ringan,Tidak
107,97,308,56,4,Hujan Sedang,Banjir
83,93,266,44,5,Hujan Sedang,Banjir
66,82,234,52,5,Hujan Ringan,Tidak
101,113,421,16,5,Hujan Sedang,Banjir
77,85,322,43,9,Hujan Sedang,Tidak
136,125,378,40,9,Hujan Berat,Banjir
65,87,245,59,7,Hujan Sedang,Tidak
38,63,230,66,5,Hujan Ringan,Tidak
44,56,161,59,4,Hujan Ringan,Tidak
65,74,229,40,8,Hujan Ringan,Tidak
88,93,277,48,3,Hujan Sedang,Banjir
59,84,286,72,6,Hujan Ringan,Tidak
50,66,282,16,7,Hujan Ringan,Tidak
96,120,449,73,3,Hujan Sedang,Banjir
102,107,356,70,3,Hujan Sedang,Banjir
60,72,253,46,6,Hujan Sedang,Tidak
116,110,422,47,7,Hujan Sedang,Banjir
106,87,270,42,7,Hujan Sedang,Tidak
168,136,401,26,6,Hujan Berat,Banjir
49,57,228,52,4,Hujan Ringan,Tidak
85,77,259,15,9,Hujan Sedang,Tidak
66,81,330,51,8,Hujan Sedang,Tidak
67,92,299,25,9,Hujan Ringan,Tidak
65,65,270,65,3,Hujan Ringan,Tidak
66,76,297,37,6,Hujan Sedang,Tidak
77,92,333,23,2,Hujan Sedang,Banjir
114,126,538,54,7,Hujan Sedang,Banjir
84,109,425,31,6,Hujan Sedang,Banjir
119,114,309,41,5,Hujan Sedang,Banjir
47,67,241,76,2,Hujan Ringan,Tidak
64,80,299,49,9,Hujan Ringan,Tidak
169,182,616,43,9,Hujan Berat,Banjir
86,96,391,57,9,Hujan Sedang,Tidak
31,59,207,73,6,Hujan Ringan,Tidak
36,61,262,45,5,Hujan Ringan,Tidak
118,119,457,25,7,Hujan Sedang,Banjir
45,65,306,50,6,Hujan Ringan,Tidak
91,106,333,66,8,Hujan Sedang,Tidak
187,162,573,57,8,Hujan Berat,Banjir
171,144,506,19,6,Hujan Berat,Banjir
64,67,293,24,6,Hujan Sedang,Tidak
60,72,208,49,9,Hujan Sedang,Tidak
113,103,339,59,4,Hujan Sedang,Banjir
121,103,421,52,2,Hujan Berat,Banjir
102,124,423,65,6,Hujan Sedang,Banjir
80,89,333,34,2,Hujan Sedang,Banjir
51,66,259,16,7,Hujan Ringan,Tidak
66,86,358,17,2,Hujan Sedang,Banjir
89,109,373,24,5,Hujan Sedang,Banjir
44,65,212,15,3,Hujan Ringan,Tidak
60,74,327,60,7,Hujan Ringan,Tidak
55,63,187,66,6,Hujan Ringan,Tidak
51,63,185,62,3,Hujan Ringan,Tidak
51,63,274,18,6,Hujan Ringan,Tidak
102,109,459,47,3,Hujan Sedang,Banjir
44,66,270,65,7,Hujan Ringan,Tidak
54,64,266,69,7,Hujan Ringan,Tidak
66,84,303,49,2,Hujan Sedang,Banjir
30,53,199,40,6,Hujan Ringan,Tidak
47,52,229,50,4,Hujan Ringan,Tidak
159,160,473,62,7,Hujan Berat,Banjir
87,77,230,51,3,Hujan Sedang,Banjir
44,64,211,62,2,Hujan Ringan,Tidak
64,66,201,24,2,Hujan Sedang,Banjir
71,82,250,71,9,Hujan Sedang,Tidak
49,68,267,23,6,Hujan Ringan,Tidak
71,93,365,75,8,Hujan Sedang,Tidak
114,98,386,51,4,Hujan Sedang,Banjir
37,46,162,17,6,Hujan Ringan,Tidak
162,163,577,57,5,Hujan Berat,Banjir
79,92,380,63,5,Hujan Sedang,Banjir
74,75,334,38,9,Hujan Sedang,Tidak
37,58,213,32,9,Hujan Ringan,Tidak
95,108,465,44,3,Hujan Sedang,Banjir
114,112,450,42,7,Hujan Sedang,Banjir
107,102,416,29,5,Hujan Sedang,Banjir
36,54,196,65,2,Hujan Ringan,Tidak
33,50,195,23,9,Hujan Ringan,Tidak
120,104,407,33,2,Hujan Berat,Banjir
98,118,433,79,7,Hujan Sedang,Banjir
47,57,238,40,9,Hujan Ringan,Tidak
56,74,285,37,6,Hujan Ringan,Tidak
55,63,196,64,5,Hujan Ringan,Tidak
136,130,428,24,7,Hujan Berat,Banjir
79,93,363,31,2,Hujan Sedang,Banjir
66,68,308,31,8,Hujan Sedang,Tidak
30,50,159,76,6,Hujan Ringan,Tidak
105,105,424,55,4,Hujan Sedang,Banjir
86,90,327,63,9,Hujan Sedang,Tidak
62,78,226,23,5,Hujan Ringan,Tidak
100,89,363,58,3,Hujan Sedang,Banjir
39,66,251,18,9,Hujan Ringan,Tidak
33,60,241,78,7,Hujan Ringan,Tidak
57,65,245,37,3,Hujan Ringan,Tidak
122,116,462,67,9,Hujan Berat,Banjir
65,67,272,26,7,Hujan Sedang,Tidak
117,120,387,53,3,Hujan Sedang,Banjir
34,49,189,45,4,Hujan Ringan,Tidak
61,81,288,34,6,Hujan Ringan,Tidak
106,123,423,16,3,Hujan Sedang,Banjir
125,116,404,21,8,Hujan Berat,Banjir
67,88,384,35,4,Hujan Ringan,Banjir
43,63,270,70,6,Hujan Ringan,Tidak
79,98,350,57,2,Hujan Sedang,Banjir
67,82,346,22,7,Hujan Ringan,Tidak
198,173,615,21,2,Hujan Berat,Banjir
116,111,421,32,8,Hujan Berat,Banjir
84,92,374,45,9,Hujan Sedang,Tidak
93,95,268,17,8,Hujan Sedang,Banjir
39,50,215,27,4,Hujan Ringan,Tidak
37,52,241,44,5,Hujan Ringan,Tidak
139,126,475,39,5,Hujan Berat,Banjir
93,111,399,31,3,Hujan Sedang,Banjir
61,74,246,62,4,Hujan Ringan,Tidak
94,110,478,24,7,Hujan Sedang,Banjir
118,117,480,19,8,Hujan Sedang,Banjir
125,124,418,36,9,Hujan Berat,Banjir
65,67,238,32,9,Hujan Sedang,Tidak
60,72,292,79,5,Hujan Ringan,Tidak
77,82,333,43,3,Hujan Sedang,Banjir
146,120,429,29,9,Hujan Berat,Banjir
35,52,227,76,8,Hujan Ringan,Tidak
68,75,334,46,2,Hujan Ringan,Banjir
35,58,257,36,9,Hujan Ringan,Tidak
105,100,303,72,3,Hujan Sedang,Banjir
38,59,245,25,3,Hujan Ringan,Tidak
131,133,395,55,8,Hujan Berat,Banjir
60,83,279,35,2,Hujan Ringan,Banjir
131,147,422,43,9,Hujan Berat,Banjir
52,70,216,62,2,Hujan Ringan,Tidak
103,112,478,79,6,Hujan Sedang,Banjir
75,88,248,78,5,Hujan Sedang,Tidak
69,79,208,67,3,Hujan Sedang,Tidak
75,97,274,79,6,Hujan Sedang,Tidak
74,84,256,42,2,Hujan Sedang,Banjir
129,119,406,21,6,Hujan Berat,Banjir
65,79,294,77,2,Hujan Ringan,Tidak
62,75,247,20,7,Hujan Sedang,Tidak
79,79,332,47,4,Hujan Sedang,Banjir
182,162,536,20,3,Hujan Berat,Banjir
106,109,313,39,2,Hujan Sedang,Banjir
88,92,288,38,4,Hujan Sedang,Banjir
104,114,469,27,8,Hujan Sedang,Banjir
105,110,415,46,6,Hujan Sedang,Banjir
55,68,251,51,8,Hujan Ringan,Tidak
91,99,347,27,4,Hujan Sedang,Banjir
117,120,478,17,2,Hujan Sedang,Banjir
87,116,415,63,7,Hujan Sedang,Banjir
158,148,456,75,7,Hujan Berat,Banjir
158,140,393,39,7,Hujan Berat,Banjir
62,76,289,47,6,Hujan Ringan,Tidak
30,49,226,35,3,Hujan Ringan,Tidak
122,123,341,60,8,Hujan Berat,Banjir
115,103,423,33,3,Hujan Berat,Banjir
55,73,264,73,3,Hujan Ringan,Tidak
36,49,185,31,3,Hujan Ringan,Tidak
66,74,300,15,6,Hujan Ringan,Banjir
98,81,310,78,6,Hujan Sedang,Tidak
55,65,256,32,7,Hujan Ringan,Tidak
55,80,281,59,9,Hujan Ringan,Tidak
37,49,219,40,2,Hujan Ringan,Tidak
74,88,276,17,6,Hujan Sedang,Banjir
117,115,470,63,6,Hujan Sedang,Banjir
56,75,242,75,2,Hujan Ringan,Tidak
46,60,265,79,9,Hujan Ringan,Tidak
36,52,214,28,8,Hujan Ringan,Tidak
40,51,214,50,4,Hujan Ringan,Tidak
192,191,698,50,5,Hujan Berat,Banjir
99,88,310,23,3,Hujan Sedang,Banjir
119,110,351,36,9,Hujan Sedang,Banjir
76,105,447,61,3,Hujan Sedang,Banjir
180,181,658,31,7,Hujan Berat,Banjir
53,76,291,54,3,Hujan Ringan,Tidak
109,106,359,74,4,Hujan Sedang,Banjir
183,172,677,64,8,Hujan Berat,Banjir
38,68,220,72,8,Hujan Ringan,Tidak
124,139,453,43,8,Hujan Berat,Banjir
67,94,308,40,2,Hujan Ringan,Banjir
32,51,235,77,7,Hujan Ringan,Tidak
50,65,221,39,9,Hujan Ringan,Tidak
108,123,346,56,6,Hujan Sedang,Banjir
181,142,388,61,2,Hujan Berat,Banjir
194,163,649,60,3,Hujan Berat,Banjir
115,106,328,67,6,Hujan Sedang,Banjir
56,74,287,61,5,Hujan Ringan,Tidak
58,71,236,68,2,Hujan Ringan,Tidak
47,65,184,54,3,Hujan Ringan,Tidak
94,98,390,61,3,Hujan Sedang,Banjir
66,82,271,15,6,Hujan Ringan,Banjir
97,113,409,30,7,Hujan Sedang,Banjir
116,92,330,71,6,Hujan Sedang,Banjir
96,97,394,56,4,Hujan Sedang,Banjir
59,77,255,68,9,Hujan Ringan,Tidak
38,59,199,75,2,Hujan Ringan,Tidak
84,97,395,20,7,Hujan Sedang,Banjir
184,198,726,52,2,Hujan Berat,Banjir
66,88,326,62,8,Hujan Sedang,Tidak
116,129,390,71,5,Hujan Sedang,Banjir
112,108,409,23,3,Hujan Sedang,Banjir
118,123,362,66,4,Hujan Sedang,Banjir
37,67,218,57,3,Hujan Ringan,Tidak
33,58,213,78,2,Hujan Ringan,Tidak
48,64,200,45,7,Hujan Ringan,Tidak
96,94,380,22,9,Hujan Sedang,Banjir
46,61,281,43,9,Hujan Ringan,Tidak
113,129,424,34,6,Hujan Berat,Banjir
77,103,290,35,3,Hujan Sedang,Banjir
35,47,171,65,6,Hujan Ringan,Tidak
63,66,268,66,8,Hujan Ringan,Tidak
50,53,192,23,7,Hujan Ringan,Tidak
65,68,241,66,7,Hujan Ringan,Tidak
32,52,188,75,5,Hujan Ringan,Tidak
32,54,230,66,6,Hujan Ringan,Tidak
43,58,176,60,7,Hujan Ringan,Tidak
34,50,196,30,7,Hujan Ringan,Tidak
38,59,233,16,2,Hujan Ringan,Tidak
180,170,463,64,5,Hujan Berat,Banjir
40,60,201,62,7,Hujan Ringan,Tidak
146,159,614,55,6,Hujan Berat,Banjir
106,97,288,69,3,Hujan Sedang,Banjir
112,131,399,15,5,Hujan Berat,Banjir
186,171,476,57,2,Hujan Berat,Banjir
99,114,400,58,7,Hujan Sedang,Banjir
114,111,418,40,6,Hujan Sedang,Banjir
58,75,264,17,3,Hujan Ringan,Banjir
57,78,237,20,6,Hujan Ringan,Tidak
49,54,197,21,3,Hujan Ringan,Tidak
171,177,683,21,9,Hujan Berat,Banjir
75,73,230,42,9,Hujan Sedang,Tidak
32,61,201,47,6,Hujan Ringan,Tidak
44,67,208,23,6,Hujan Ringan,Tidak
36,60,209,58,3,Hujan Ringan,Tidak
38,59,274,45,8,Hujan Ringan,Tidak
100,113,367,18,3,Hujan Sedang,Banjir
111,127,379,76,5,Hujan Sedang,Banjir
81,101,352,59,9,Hujan Sedang,Tidak
86,105,349,70,3,Hujan Sedang,Banjir
60,68,227,70,5,Hujan Ringan,Tidak
62,66,216,45,6,Hujan Sedang,Tidak
69,69,209,60,7,Hujan Ringan,Tidak
113,110,317,30,7,Hujan Sedang,Banjir
179,170,504,75,5,Hujan Berat,Banjir
75,89,300,42,5,Hujan Sedang,Banjir
105,125,435,65,5,Hujan Sedang,Banjir
187,173,728,15,8,Hujan Berat,Banjir
38,62,266,55,6,Hujan Ringan,Tidak
32,55,185,60,3,Hujan Ringan,Tidak
73,89,315,71,2,Hujan Sedang,Banjir
106,120,506,77,4,Hujan Sedang,Banjir
103,110,469,55,6,Hujan Sedang,Banjir
115,119,320,37,2,Hujan Sedang,Banjir
58,86,267,20,5,Hujan Ringan,Banjir
83,91,292,32,9,Hujan Sedang,Tidak
34,66,264,47,4,Hujan Ringan,Tidak
64,67,253,17,8,Hujan Ringan,Tidak
61,84,261,44,6,Hujan Sedang,Tidak
126,134,446,59,8,Hujan Berat,Banjir
64,87,294,51,9,Hujan Ringan,Tidak
48,62,244,16,6,Hujan Ringan,Tidak
66,79,328,71,3,Hujan Ringan,Tidak
43,70,228,31,4,Hujan Ringan,Tidak
112,116,357,55,8,Hujan Berat,Banjir
112,121,502,40,3,Hujan Sedang,Banjir
66,89,323,78,6,Hujan Ringan,Tidak
59,68,226,31,8,Hujan Ringan,Tidak
58,70,226,18,4,Hujan Ringan,Tidak
72,86,295,67,6,Hujan Sedang,Tidak
80,94,281,75,8,Hujan Sedang,Tidak
109,113,403,28,2,Hujan Sedang,Banjir
110,99,394,56,3,Hujan Berat,Banjir
90,86,361,73,5,Hujan Sedang,Tidak
98,103,435,70,7,Hujan Sedang,Banjir
91,98,360,21,6,Hujan Sedang,Banjir
41,63,188,55,5,Hujan Ringan,Tidak
109,120,447,40,8,Hujan Sedang,Banjir
116,117,469,24,5,Hujan Sedang,Banjir
128,129,383,48,4,Hujan Berat,Banjir
107,128,336,79,4,Hujan Sedang,Banjir
94,95,334,29,9,Hujan Sedang,Tidak
69,90,341,63,4,Hujan Ringan,Tidak
76,81,251,59,8,Hujan Sedang,Tidak
170,162,495,64,8,Hujan Berat,Banjir
170,137,474,34,2,Hujan Berat,Banjir
32,61,237,74,9,Hujan Ringan,Tidak
43,61,238,17,3,Hujan Ringan,Tidak
61,61,258,53,3,Hujan Sedang,Tidak
83,94,324,33,8,Hujan Sedang,Tidak
105,91,334,55,8,Hujan Sedang,Tidak
104,94,358,69,7,Hujan Sedang,Tidak
119,134,365,69,7,Hujan Sedang,Banjir
67,95,293,16,7,Hujan Ringan,Banjir
109,113,368,38,2,Hujan Sedang,Banjir
107,114,379,59,6,Hujan Sedang,Banjir
87,99,310,23,5,Hujan Sedang,Banjir
193,157,436,63,6,Hujan Berat,Banjir
32,48,201,39,7,Hujan Ringan,Tidak
68,81,247,28,3,Hujan Sedang,Banjir
180,160,627,30,7,Hujan Berat,Banjir
87,88,266,26,3,Hujan Sedang,Banjir
155,138,499,42,9,Hujan Berat,Banjir
51,60,207,66,4,Hujan Ringan,Tidak
63,83,307,75,4,Hujan Ringan,Tidak
116,119,374,15,8,Hujan Sedang,Banjir
51,67,209,54,3,Hujan Ringan,Tidak
66,76,258,42,8,Hujan Sedang,Tidak
58,59,241,25,3,Hujan Ringan,Tidak
67,81,330,70,9,Hujan Ringan,Tidak
64,89,305,44,9,Hujan Ringan,Tidak
76,92,345,64,6,Hujan Sedang,Tidak
90,101,352,43,3,Hujan Sedang,Banjir
106,102,432,35,8,Hujan Sedang,Banjir
87,108,337,28,8,Hujan Sedang,Banjir
37,55,252,40,3,Hujan Ringan,Tidak
98,104,335,66,2,Hujan Sedang,Banjir
134,123,524,30,9,Hujan Berat,Banjir
104,102,369,20,3,Hujan Sedang,Banjir
62,70,240,63,3,Hujan Ringan,Tidak
84,94,294,23,9,Hujan Sedang,Tidak
105,96,329,53,4,Hujan Sedang,Banjir
60,76,243,19,8,Hujan Ringan,Tidak
52,54,215,29,3,Hujan Ringan,Tidak
76,86,353,19,9,Hujan Sedang,Tidak
101,98,283,18,6,Hujan Sedang,Banjir
91,102,297,40,4,Hujan Sedang,Banjir
34,57,216,58,8,Hujan Ringan,Tidak
68,70,301,36,7,Hujan Sedang,Tidak
55,76,264,53,3,Hujan Ringan,Tidak
65,88,252,33,3,Hujan Ringan,Banjir
56,72,296,76,9,Hujan Ringan,Tidak
69,63,266,29,7,Hujan Ringan,Tidak
168,183,667,67,9,Hujan Berat,Banjir
100,110,423,24,2,Hujan Sedang,Banjir
34,50,176,23,9,Hujan Ringan,Tidak
65,80,278,57,9,Hujan Sedang,Tidak
87,98,369,52,6,Hujan Sedang,Banjir
30,44,133,71,6,Hujan Ringan,Tidak
62,74,241,49,7,Hujan Ringan,Tidak
69,65,188,30,9,Hujan Ringan,Tidak
34,61,185,79,7,Hujan Ringan,Tidak
108,96,286,62,6,Hujan Sedang,Tidak
61,75,275,52,6,Hujan Ringan,Tidak
117,115,331,56,8,Hujan Sedang,Banjir
124,141,475,18,3,Hujan Berat,Banjir
123,121,371,52,6,Hujan Berat,Banjir
98,118,464,21,8,Hujan Sedang,Banjir
50,74,218,21,8,Hujan Ringan,Tidak
109,104,361,17,9,Hujan Sedang,Banjir
135,107,373,24,8,Hujan Berat,Banjir
58,82,292,54,7,Hujan Ringan,Tidak
55,84,228,46,4,Hujan Ringan,Tidak
59,61,209,41,2,Hujan Ringan,Tidak
88,93,321,58,6,Hujan Sedang,Tidak
103,120,370,66,3,Hujan Sedang,Banjir
183,144,399,76,2,Hujan Berat,Banjir
81,85,361,70,5,Hujan Sedang,Tidak
108,91,364,47,9,Hujan Sedang,Tidak
46,61,274,33,8,Hujan Ringan,Tidak
42,57,172,42,4,Hujan Ringan,Tidak
67,80,281,68,8,Hujan Ringan,Tidak
61,77,262,35,7,Hujan Ringan,Tidak
64,76,246,17,2,Hujan Sedang,Banjir
86,89,304,67,6,Hujan Sedang,Tidak
100,118,389,62,8,Hujan Sedang,Banjir
164,144,582,28,8,Hujan Berat,Banjir
119,93,376,73,9,Hujan Sedang,Tidak
88,100,327,24,7,Hujan Sedang,Banjir
152,128,427,23,2,Hujan Berat,Banjir
40,66,210,67,2,Hujan Ringan,Tidak
196,150,600,70,4,Hujan Berat,Banjir
49,72,297,25,7,Hujan Ringan,Tidak
194,193,525,46,4,Hujan Berat,Banjir
88,99,304,35,9,Hujan Sedang,Tidak
45,75,330,78,4,Hujan Ringan,Tidak
187,168,669,24,3,Hujan Berat,Banjir
90,97,352,15,7,Hujan Sedang,Banjir
50,72,219,73,2,Hujan Ringan,Tidak
46,64,196,64,6,Hujan Ringan,Tidak
47,60,180,20,3,Hujan Ringan,Tidak
156,139,534,30,4,Hujan Berat,Banjir
98,92,352,50,5,Hujan Sedang,Banjir
34,60,242,50,5,Hujan Ringan,Tidak
60,65,222,76,6,Hujan Sedang,Tidak
69,81,300,52,5,Hujan Ringan,Tidak
61,71,197,74,3,Hujan Sedang,Tidak
65,68,258,46,8,Hujan Sedang,Tidak
138,140,588,18,4,Hujan Berat,Banjir
99,122,457,15,2,Hujan Sedang,Banjir
67,78,243,23,2,Hujan Ringan,Banjir
35,56,204,36,8,Hujan Ringan,Tidak
62,81,342,36,5,Hujan Sedang,Banjir
104,102,403,72,2,Hujan Sedang,Banjir
70,95,358,36,7,Hujan Sedang,Tidak
43,65,181,26,3,Hujan Ringan,Tidak
64,66,286,25,7,Hujan Sedang,Tidak
93,84,303,43,3,Hujan Sedang,Banjir
45,48,204,75,4,Hujan Ringan,Tidak
88,106,366,15,8,Hujan Sedang,Banjir
89,91,343,76,7,Hujan Sedang,Tidak
81,90,335,25,2,Hujan Sedang,Banjir
119,120,463,63,6,Hujan Sedang,Banjir
53,70,238,36,8,Hujan Ringan,Tidak
193,148,500,23,7,Hujan Berat,Banjir
54,80,268,20,4,Hujan Ringan,Banjir
67,66,194,50,6,Hujan Ringan,Tidak
106,109,365,63,2,Hujan Sedang,Banjir
146,139,444,16,9,Hujan Berat,Banjir
41,52,224,76,9,Hujan Ringan,Tidak
82,86,343,46,6,Hujan Sedang,Tidak
45,63,280,21,9,Hujan Ringan,Tidak
63,72,310,64,3,Hujan Sedang,Tidak
171,147,413,58,8,Hujan Berat,Banjir
112,109,453,72,8,Hujan Sedang,Banjir
89,86,353,62,5,Hujan Sedang,Banjir
42,60,248,44,3,Hujan Ringan,Tidak
54,82,326,31,9,Hujan Ringan,Tidak
43,60,224,78,3,Hujan Ringan,Tidak
195,151,557,78,7,Hujan Berat,Banjir
42,60,259,78,4,Hujan Ringan,Tidak
89,82,328,62,3,Hujan Sedang,Banjir
71,97,379,54,8,Hujan Sedang,Tidak
67,86,306,26,4,Hujan Ringan,Banjir
63,81,249,75,5,Hujan Ringan,Tidak
46,71,205,32,4,Hujan Ringan,Tidak
39,60,199,58,9,Hujan Ringan,Tidak
111,119,428,66,8,Hujan Sedang,Banjir
87,111,359,65,8,Hujan Sedang,Tidak
31,52,189,29,6,Hujan Ringan,Tidak
62,89,281,68,7,Hujan Ringan,Tidak
104,97,325,61,9,Hujan Sedang,Tidak
51,80,301,19,3,Hujan Ringan,Banjir
86,84,349,62,6,Hujan Sedang,Tidak
65,92,265,40,7,Hujan Sedang,Tidak
119,97,390,68,4,Hujan Berat,Banjir
51,64,259,74,3,Hujan Ringan,Tidak
101,113,338,26,2,Hujan Sedang,Banjir
184,194,658,35,4,Hujan Berat,Banjir
49,65,245,73,9,Hujan Ringan,Tidak
108,124,423,28,9,Hujan Sedang,Banjir
149,126,446,71,6,Hujan Berat,Banjir
92,87,311,76,5,Hujan Sedang,Tidak
69,67,200,76,7,Hujan Ringan,Tidak
98,102,390,66,2,Hujan Sedang,Banjir
140,132,529,75,7,Hujan Berat,Banjir
44,70,293,36,9,Hujan Ringan,Tidak
69,85,363,56,7,Hujan Ringan,Tidak
60,69,189,45,3,Hujan Ringan,Tidak
32,55,249,78,7,Hujan Ringan,Tidak
197,185,628,23,4,Hujan Berat,Banjir
66,72,223,68,4,Hujan Ringan,Tidak
77,76,313,38,9,Hujan Sedang,Tidak
78,105,415,28,9,Hujan Sedang,Banjir
190,193,631,47,6,Hujan Berat,Banjir
187,157,525,38,3,Hujan Berat,Banjir
48,67,276,63,2,Hujan Ringan,Tidak
154,125,436,58,6,Hujan Berat,Banjir
108,105,317,54,9,Hujan Sedang,Tidak
115,110,463,32,4,Hujan Sedang,Banjir
62,62,219,75,8,Hujan Ringan,Tidak
34,45,167,73,4,Hujan Ringan,Tidak
42,60,225,52,7,Hujan Ringan,Tidak
36,51,217,16,6,Hujan Ringan,Tidak
66,89,375,33,8,Hujan Ringan,Tidak
76,82,257,51,4,Hujan Sedang,Tidak
88,102,378,16,4,Hujan Sedang,Banjir
31,44,173,79,4,Hujan Ringan,Tidak
70,88,285,22,7,Hujan Sedang,Tidak
64,64,226,19,8,Hujan Ringan,Tidak
60,61,231,33,9,Hujan Ringan,Tidak
148,134,551,28,8,Hujan Berat,Banjir
39,60,224,51,6,Hujan Ringan,Tidak
158,163,630,23,8,Hujan Berat,Banjir
85,89,279,36,3,Hujan Sedang,Banjir
93,108,391,61,6,Hujan Sedang,Banjir
33,53,216,61,5,Hujan Ringan,Tidak
119,105,311,55,5,Hujan Berat,Banjir
52,77,222,73,2,Hujan Ringan,Tidak
177,165,651,32,5,Hujan Berat,Banjir
113,125,345,74,9,Hujan Sedang,Tidak
52,70,252,65,3,Hujan Ringan,Tidak
91,85,375,23,4,Hujan Sedang,Banjir
73,90,290,70,9,Hujan Sedang,Tidak
43,62,251,72,3,Hujan Ringan,Tidak
173,124,415,27,8,Hujan Berat,Banjir
56,71,245,16,5,Hujan Ringan,Tidak
109,90,334,58,2,Hujan Sedang,Banjir
136,133,452,41,5,Hujan Berat,Banjir
74,80,324,20,3,Hujan Sedang,Banjir
53,64,248,62,4,Hujan Ringan,Tidak
34,57,201,16,3,Hujan Ringan,Tidak
66,86,357,24,7,Hujan Ringan,Banjir
114,91,265,17,7,Hujan Sedang,Banjir
61,72,277,28,7,Hujan Sedang,Tidak
33,54,221,63,4,Hujan Ringan,Tidak
66,87,319,45,7,Hujan Sedang,Tidak
198,171,557,71,2,Hujan Berat,Banjir
54,81,350,63,4,Hujan Ringan,Tidak
55,63,247,24,5,Hujan Ringan,Tidak
62,72,245,25,6,Hujan Ringan,Tidak
115,114,463,55,6,Hujan Sedang,Banjir
82,81,337,49,9,Hujan Sedang,Tidak
57,79,227,28,6,Hujan Ringan,Tidak
121,127,382,18,7,Hujan Berat,Banjir
110,101,441,51,8,Hujan Berat,Banjir
169,158,457,34,7,Hujan Berat,Banjir
176,171,565,21,7,Hujan Berat,Banjir
58,86,366,57,8,Hujan Ringan,Tidak
43,65,223,43,8,Hujan Ringan,Tidak
79,87,323,77,9,Hujan Sedang,Tidak
40,60,261,34,4,Hujan Ringan,Tidak
83,84,334,36,7,Hujan Sedang,Tidak
164,151,492,23,8,Hujan Berat,Banjir
159,167,434,36,5,Hujan Berat,Banjir
30,62,266,66,9,Hujan Ringan,Tidak
154,146,593,19,4,Hujan Berat,Banjir
42,69,227,44,6,Hujan Ringan,Tidak
36,66,230,36,5,Hujan Ringan,Tidak
140,142,457,62,3,Hujan Berat,Banjir
61,80,236,47,9,Hujan Sedang,Tidak
116,120,494,34,5,Hujan Sedang,Banjir
135,124,420,32,6,Hujan Berat,Banjir
52,69,284,60,6,Hujan Ringan,Tidak
116,132,434,58,2,Hujan Sedang,Banjir
60,67,277,58,4,Hujan Sedang,Tidak
60,72,293,65,7,Hujan Ringan,Tidak
58,64,210,15,4,Hujan Ringan,Tidak
56,70,229,64,5,Hujan Ringan,Tidak
170,187,669,73,9,Hujan Berat,Banjir
79,105,373,44,8,Hujan Sedang,Tidak
35,54,238,16,2,Hujan Ringan,Tidak
86,102,329,34,2,Hujan Sedang,Banjir
145,117,349,51,3,Hujan Berat,Banjir
49,66,223,55,8,Hujan Ringan,Tidak
46,64,265,62,4,Hujan Ringan,Tidak
52,67,233,68,5,Hujan Ringan,Tidak
190,155,584,75,9,Hujan Berat,Banjir
148,122,493,38,4,Hujan Berat,Banjir
66,73,317,28,2,Hujan Ringan,Banjir
114,120,498,60,2,Hujan Berat,Banjir
67,76,298,61,4,Hujan Ringan,Tidak
80,87,283,48,7,Hujan Sedang,Tidak
63,79,278,72,9,Hujan Ringan,Tidak
39,48,215,35,5,Hujan Ringan,Tidak
61,86,335,38,3,Hujan Sedang,Banjir
61,67,264,20,2,Hujan Sedang,Banjir
100,80,239,41,7,Hujan Sedang,Tidak
44,56,239,38,3,Hujan Ringan,Tidak
74,70,195,76,2,Hujan Sedang,Tidak
58,80,285,33,8,Hujan Ringan,Tidak
99,97,401,60,4,Hujan Sedang,Banjir
60,72,234,49,9,Hujan Ringan,Tidak
55,62,200,18,5,Hujan Ringan,Tidak
82,93,364,46,8,Hujan Sedang,Tidak
52,66,290,45,5,Hujan Ringan,Tidak
73,76,327,78,3,Hujan Sedang,Tidak
31,48,220,73,3,Hujan Ringan,Tidak
90,81,262,61,9,Hujan Sedang,Tidak
170,142,435,54,4,Hujan Berat,Banjir
138,121,435,22,9,Hujan Berat,Banjir
